Date,long_ret,short_ret,cum_ret,equity,drawdown,long_pnl,short_pnl
2025-08-05,0.009459454496372555,-0.010487815032113997,-0.0010283605357414415,0.8657637232721728,-0.10233795634398568,1.0057443529193268,0.8501059227252474
2025-08-06,0.008460613797274292,-0.013675294258442222,-0.0052146804611679295,0.8612490421004374,-0.10701897706377073,1.0142535674681668,0.8384804740811351
2025-08-07,0.006133191175147904,-0.007833252226754652,-0.0017000610516067485,0.8597848661482289,-0.10853709932068856,1.0204741784975249,0.8319124450404487
2025-08-08,0.001252931295342736,0.004178636763215829,0.0054315680585585654,0.8644548461644317,-0.09957511318537182,1.0217527625318534,0.8353887049670714
2025-08-11,0.0027443355947877625,-0.009083705072874388,-0.006339369478086625,0.8589747474974728,-0.10528323923015404,1.0245567950071424,0.82780028034994
2025-08-12,0.004795044539002881,0.0016683564383352836,0.006463400977338165,0.8645266457199567,-0.09950032604415349,1.0294695904719395,0.8291813462773177
2025-08-13,0.0012942799094364853,-0.006968036991072529,-0.005673757081636044,0.8596215315415401,-0.10128749926531211,1.030802012280263,0.82340357998415
2025-08-14,0.0014146345888487225,-0.0018198152634031804,-0.00040518067455445786,0.8592732295095286,-0.10165164020259032,1.0322602204610896,0.8219051375813541
2025-08-15,0.008186822863080513,-0.009757608142173106,-0.0015707852790925927,0.8579234957698967,-0.09852899770921475,1.040711152034609,0.8138853093187963
2025-08-18,-0.002149742591426464,8.099093461742541e-06,-0.0021416434979647215,0.8560861294934299,-0.10045962721987467,1.0384738909457079,0.8138919010519836
2025-08-19,-0.006256978858636663,0.001838177179473024,-0.004418801679163639,0.8523032546669156,-0.104434517729591,1.0319761817648145,0.8153879785710554
2025-08-20,-0.013714263696400272,0.007203264792370988,-0.006510998904029283,0.8467539091098787,-0.11026554360314011,1.0178233882796877,0.8212614340892188
2025-08-21,0.014815062055135666,-0.009015855963190707,0.005799206091944958,0.8516644095379668,-0.10510579012339016,1.0329025049382197,0.813857059291347
